[07:59:40] 🔇 [quiet-window] 进入 pre_quiet，owner=1774712054103，fire_at=08:00:00
[08:00:05] 🔫 [quiet-window] 进入 fire_window，owner=1774712054103
[08:00:05] ⏰ [自动任务] 开始执行任务: 1774712054103
[08:00:05] 🕒 [时间对齐] server_offset=0.0s, base_run=2026-03-29 08:00:00, target_date=2026-03-31
[13:51:49] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:51:55] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:51:56] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:52:02] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:52:04] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:52:10] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:52:11] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:52:16] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:52:18] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:52:23] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:52:24] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:52:30] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:52:32] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:52:38] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:52:39] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:52:45] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:52:47] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:52:53] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:52:54] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:53:00] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:53:01] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:53:07] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:53:09] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:53:15] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:53:16] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:53:22] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:53:24] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:53:30] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:53:31] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:53:37] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:53:38] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:53:44] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:53:45] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:53:51] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:53:53] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:53:59] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:54:00] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:54:06] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:54:07] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:54:13] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:54:15] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:54:20] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:54:21] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:54:26] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:54:28] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:54:34] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:54:35] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:54:41] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:54:42] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:54:47] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:54:48] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:54:54] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:54:56] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:55:02] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:55:03] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:55:09] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:55:11] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:55:17] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:55:18] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:55:23] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:55:24] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:55:30] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:55:32] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:55:37] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:55:38] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:55:43] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:55:44] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:55:50] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:55:52] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:55:58] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:55:59] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:56:05] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:56:06] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:56:12] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:56:14] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:56:20] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:56:21] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:56:27] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:56:28] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:56:33] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:56:35] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:56:41] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:56:42] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:56:48] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:56:49] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:56:55] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:56:56] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:57:01] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:57:03] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:57:09] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:57:10] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:57:15] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:57:17] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:57:23] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:57:24] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:57:29] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:57:31] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:57:36] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:57:38] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:57:43] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:57:44] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:57:49] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:57:51] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:57:57] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:57:58] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:58:04] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:58:05] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:58:11] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:58:12] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:58:18] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:58:20] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:58:26] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:58:27] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:58:32] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:58:33] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:58:39] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:58:41] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:58:46] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:58:47] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:58:53] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:58:55] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:59:00] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:59:01] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:59:07] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:59:09] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:59:14] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:59:15] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:59:21] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:59:23] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:59:28] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:59:29] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:59:34] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:59:36] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:59:42] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:59:43] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:59:49] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:59:50] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[13:59:56] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[13:59:57] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:00:02] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:00:04] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:00:09] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:00:10] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:00:16] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:00:18] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:00:24] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:00:25] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:00:31] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:00:32] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:00:38] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:00:40] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:00:45] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:00:46] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:00:52] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:00:53] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:00:58] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:01:00] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:01:06] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:01:07] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:01:12] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:01:14] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:01:19] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:01:20] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:01:26] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:01:28] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:01:33] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:01:34] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:01:40] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:01:41] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:01:47] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:01:49] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:01:55] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:01:56] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:02:02] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:02:03] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:02:08] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:02:09] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:02:15] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:02:17] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:02:22] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:02:23] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:02:29] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:02:30] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:02:36] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:02:37] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:02:43] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:02:44] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:02:50] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:02:52] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:02:57] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:02:58] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:03:03] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:03:05] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:03:10] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:03:11] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:03:16] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:03:17] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:03:23] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:03:24] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:03:29] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:03:31] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:03:36] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:03:37] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:03:42] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:03:44] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:03:49] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:03:50] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:03:55] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:03:57] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:04:02] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:04:03] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:04:08] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:04:10] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:04:16] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:04:17] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:04:22] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:04:24] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:04:29] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:04:31] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:04:37] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:04:38] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:04:44] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:04:46] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:04:52] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:04:53] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:04:58] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:05:00] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:05:06] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
[14:05:07] 🙈 [refill#1772093525261|auto] 当前无可补订组合，缺口: {'14:00': 2, '15:00': 1}
[14:05:12] 🧩 [refill#1772093525261|auto] 开始执行: date=2026-04-04, target_count=2, times=['14:00', '15:00'], places=14
